行程id,子行程id,车辆id,检测时间,经度,纬度,方向,星数,定位状态,gps速度,定位时间,时间戳,里程戳,油量戳,车速,转数,水温,电压,加速度(m/s^2),怠速状态,new_col
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:09,108.986576,34.323552,77,5,1,10,2022-07-18 20:17:11,64.0,184,331,0.0,727,75,14.8,-0.6944444444444444,T,1
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:09,108.986576,34.323552,77,5,1,10,2022-07-18 20:17:12,65.0,184,331,0.0,727,75,14.8,-0.6944444444444444,T,2
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:09,108.986584,34.323532,0,5,1,2,2022-07-18 20:17:13,66.0,184,337,0.0,735,75,14.8,-0.2777777777777778,T,3
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:09,108.986584,34.32352,0,5,1,1,2022-07-18 20:17:14,67.0,184,343,0.0,744,76,14.9,0.0,T,4
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:09,108.986584,34.323504,0,5,1,1,2022-07-18 20:17:15,68.0,184,350,0.0,734,76,14.9,0.0,T,5
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:09,108.986584,34.323504,0,5,1,1,2022-07-18 20:17:16,69.0,184,350,0.0,734,76,14.9,0.0,T,6
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:23,108.9866,34.323492,0,6,1,1,2022-07-18 20:17:17,70.0,184,357,0.0,746,76,14.9,0.0,T,7
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:23,108.9866,34.323492,0,6,1,0,2022-07-18 20:17:18,71.0,184,362,0.0,734,77,14.9,0.0,T,8
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:23,108.9866,34.323492,0,6,1,0,2022-07-18 20:17:19,72.0,184,368,0.0,728,77,14.8,0.0,T,9
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:23,108.9866,34.323492,0,6,1,0,2022-07-18 20:17:20,73.0,184,368,0.0,728,77,14.8,0.0,T,10
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:23,108.9866,34.323488,0,5,1,0,2022-07-18 20:17:21,74.0,184,373,0.0,714,77,14.9,0.0,T,11
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:23,108.9866,34.323488,0,5,1,0,2022-07-18 20:17:22,75.0,184,379,0.0,709,77,14.8,0.0,T,12
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:23,108.986616,34.323488,0,5,1,0,2022-07-18 20:17:23,76.0,184,384,0.0,692,77,14.8,0.0,T,13
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:23,108.986616,34.323488,0,5,1,0,2022-07-18 20:17:24,77.0,184,384,0.0,692,77,14.8,0.0,T,14
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:23,108.986616,34.323492,0,5,1,0,2022-07-18 20:17:25,78.0,184,389,0.0,708,77,14.9,0.0,T,15
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:23,108.986616,34.323488,0,5,1,0,2022-07-18 20:17:26,79.0,184,394,0.0,692,77,14.8,0.0,T,16
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:23,108.986616,34.323488,0,5,1,0,2022-07-18 20:17:27,80.0,184,394,0.0,692,77,14.8,0.0,T,17
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:23,108.98664,34.323488,0,5,1,1,2022-07-18 20:17:28,81.0,184,399,0.0,685,77,14.8,0.5555555555555556,T,18
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:23,108.986656,34.323492,0,6,1,2,2022-07-18 20:17:29,82.0,185,404,0.0,686,77,14.8,0.2777777777777778,T,19
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:37,108.986672,34.323496,0,6,1,3,2022-07-18 20:17:30,83.0,186,410,0.0,702,78,14.8,-0.4166666666666667,T,20
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:37,108.986672,34.323496,0,6,1,3,2022-07-18 20:17:31,84.0,186,410,0.0,702,78,14.8,-0.4166666666666667,T,21
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:37,108.986688,34.3235,0,7,1,1,2022-07-18 20:17:32,85.0,186,415,0.0,719,78,14.7,0.0,T,22
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:37,108.986704,34.323492,0,7,1,0,2022-07-18 20:17:33,86.0,186,420,0.0,706,78,14.9,0.0,T,23
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:37,108.986704,34.323492,0,7,1,0,2022-07-18 20:17:34,87.0,186,426,0.0,712,78,14.9,0.0,T,24
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:37,108.986704,34.323492,0,7,1,0,2022-07-18 20:17:35,88.0,186,426,0.0,712,78,14.9,0.0,T,25
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:37,108.986704,34.323496,0,7,1,0,2022-07-18 20:17:36,89.0,186,432,0.0,689,78,14.8,0.0,T,26
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:37,108.986704,34.323492,0,7,1,0,2022-07-18 20:17:37,90.0,186,437,0.0,702,78,14.9,0.0,T,27
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:37,108.986704,34.323492,0,7,1,0,2022-07-18 20:17:38,91.0,186,442,0.0,694,78,14.8,0.0,T,28
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:37,108.986704,34.323492,0,7,1,0,2022-07-18 20:17:39,92.0,186,442,0.0,694,78,14.8,0.0,T,29
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:37,108.986704,34.323492,0,7,1,0,2022-07-18 20:17:40,93.0,186,447,0.0,697,79,14.8,0.0,T,30
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:37,108.986704,34.323492,0,7,1,0,2022-07-18 20:17:41,94.0,186,452,0.0,694,79,14.8,0.0,T,31
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:37,108.986704,34.323492,0,7,1,0,2022-07-18 20:17:42,95.0,186,452,0.0,694,79,14.8,0.0,T,32
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:37,108.986704,34.323492,0,7,1,0,2022-07-18 20:17:43,96.0,186,457,0.0,687,79,14.9,0.0,T,33
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:50,108.986704,34.323496,0,7,1,0,2022-07-18 20:17:44,97.0,186,462,0.0,691,78,14.9,0.0,T,34
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:50,108.986704,34.323496,0,7,1,0,2022-07-18 20:17:45,98.0,186,467,0.0,686,78,14.7,0.1388888888888889,T,35
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:50,108.986704,34.323496,0,7,1,0,2022-07-18 20:17:46,99.0,186,467,0.0,686,78,14.7,0.1388888888888889,T,36
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:50,108.986704,34.323496,0,7,1,0,2022-07-18 20:17:47,100.0,186,467,0.0,686,78,14.7,0.1388888888888889,T,37
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:50,108.98672,34.323492,0,7,1,2,2022-07-18 20:17:48,101.0,188,478,0.0,694,79,14.8,0.0,T,38
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:50,108.986736,34.323492,0,7,1,2,2022-07-18 20:17:49,102.0,189,483,0.0,703,79,14.7,0.1388888888888889,T,39
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:50,108.986736,34.323492,0,7,1,2,2022-07-18 20:17:50,103.0,189,483,0.0,703,79,14.7,0.1388888888888889,T,40
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:50,108.986744,34.323492,0,7,1,3,2022-07-18 20:17:51,104.0,190,488,0.0,711,79,14.8,-0.5555555555555556,T,41
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:50,108.986744,34.323492,0,7,1,3,2022-07-18 20:17:52,105.0,190,488,0.0,711,79,14.8,-0.5555555555555556,T,42
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:50,108.986768,34.323492,0,6,1,1,2022-07-18 20:17:53,106.0,192,498,0.0,719,79,14.8,-0.1388888888888889,T,43
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:50,108.986768,34.323492,0,6,1,1,2022-07-18 20:17:54,107.0,192,498,0.0,719,79,14.8,-0.1388888888888889,T,44
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:50,108.986784,34.323496,0,8,1,0,2022-07-18 20:17:55,108.0,192,504,0.0,705,80,14.8,0.2777777777777778,T,45
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:17:50,108.986784,34.323496,0,8,1,0,2022-07-18 20:17:56,109.0,192,504,0.0,705,80,14.8,0.2777777777777778,T,46
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:18:04,108.986784,34.3235,0,8,1,0,2022-07-18 20:17:57,110.0,192,514,0.0,710,80,14.8,0.0,T,47
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:18:04,108.986784,34.3235,0,8,1,0,2022-07-18 20:17:58,111.0,192,514,0.0,710,80,14.8,0.0,T,48
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:18:04,108.986784,34.3235,0,8,1,0,2022-07-18 20:17:59,112.0,192,520,0.0,704,80,14.8,0.5555555555555556,T,49
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:18:04,108.9868,34.323504,0,8,1,1,2022-07-18 20:18:00,113.0,193,525,0.0,688,80,14.8,-0.2777777777777778,T,50
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:18:04,108.9868,34.323504,0,8,1,1,2022-07-18 20:18:01,114.0,193,525,0.0,688,80,14.8,-0.2777777777777778,T,51
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:18:04,108.9868,34.3235,0,8,1,0,2022-07-18 20:18:02,115.0,193,530,0.0,702,81,14.8,0.0,T,52
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:18:04,108.9868,34.323504,0,8,1,0,2022-07-18 20:18:03,116.0,193,536,0.0,695,81,14.7,0.0,T,53
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:18:04,108.9868,34.323504,0,8,1,0,2022-07-18 20:18:04,117.0,193,541,0.0,715,81,14.8,0.0,T,54
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:18:04,108.9868,34.323504,0,8,1,0,2022-07-18 20:18:05,118.0,193,541,0.0,715,81,14.8,0.0,T,55
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:18:04,108.9868,34.323508,0,8,1,0,2022-07-18 20:18:06,119.0,193,546,0.0,695,81,14.8,0.2777777777777778,T,56
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:18:04,108.9868,34.323512,0,8,1,1,2022-07-18 20:18:07,120.0,193,552,0.0,677,81,14.9,0.5555555555555556,T,57
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:18:04,108.9868,34.323512,0,8,1,1,2022-07-18 20:18:08,121.0,193,552,0.0,677,81,14.9,0.5555555555555556,T,58
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:18:04,108.9868,34.323512,0,8,1,1,2022-07-18 20:18:09,122.0,193,552,0.0,677,81,14.9,0.5555555555555556,T,59
600050992309,3757,636d9ce3-d6c1-4bcc-984a-20b82a23c538,2022-07-18 20:18:04,108.986816,34.323512,0,8,1,0,2022-07-18 20:18:10,123.0,194,563,0.0,723,81,14.8,0.0,T,60
